Hotel Name,Address,Room Type,Room Price Detail
パレスホテル東京,東京都・丸の内／大手町地下通路直結 [全284室],デラックスキング（禁煙）,"['ポイント2%分利用で86,020円～2名税込84,300円～詳細･予約', 'ポイント16%分利用+割引で140,668円～朝食付2名税込102,814円～詳細･予約', 'ポイント7%分利用+割引で170,178円～夕食付2名税込137,695円～詳細･予約']"
パレスホテル東京,東京都・丸の内／大手町地下通路直結 [全284室],デラックスキング with バルコニー（禁煙）,"['ポイント7%分利用+割引で129,030円～2名税込114,004円～詳細･予約', 'ポイント16%分利用+割引で163,438円～朝食付2名税込119,456円～詳細･予約', 'ポイント7%分利用+割引で192,870円～夕食付2名税込156,058円～詳細･予約']"
パレスホテル東京,東京都・丸の内／大手町地下通路直結 [全284室],デラックスツイン with バルコニー（禁煙）,"['ポイント7%分利用+割引で129,030円～2名税込114,004円～詳細･予約', 'ポイント16%分利用+割引で163,438円～朝食付2名税込119,456円～詳細･予約', 'ポイント7%分利用+割引で192,870円～夕食付2名税込156,058円～詳細･予約']"
パレスホテル東京,東京都・丸の内／大手町地下通路直結 [全284室],クラブデラックスツイン with バルコニー（禁煙）,"['ポイント16%分利用+割引で178,366円～朝食付2名税込130,363円～詳細･予約']"
パレスホテル東京,東京都・丸の内／大手町地下通路直結 [全284室],クラブデラックスキング with バルコニー（禁煙）,"['ポイント16%分利用+割引で178,366円～朝食付2名税込130,363円～詳細･予約']"
パレスホテル東京,東京都・丸の内／大手町地下通路直結 [全284室],グランドデラックスツイン（禁煙）,"['ポイント2%分利用で137,886円～2名税込135,130円～詳細･予約', 'ポイント16%分利用+割引で182,414円～朝食付2名税込133,309円～詳細･予約', 'ポイント7%分利用+割引で204,216円～夕食付2名税込165,236円～詳細･予約']"
パレスホテル東京,東京都・丸の内／大手町地下通路直結 [全284室],クラブグランドデラックスツイン（禁煙）,"['ポイント16%分利用+割引で193,546円～朝食付2名税込141,458円～詳細･予約']"
パレスホテル東京,東京都・丸の内／大手町地下通路直結 [全284室],グランドデラックスキング with バルコニー（禁煙）,"['ポイント7%分利用+割引で189,750円～2名税込153,533円～詳細･予約', 'ポイント7%分利用+割引で201,388円～朝食付2名税込162,944円～詳細･予約']"
パレスホテル東京,東京都・丸の内／大手町地下通路直結 [全284室],クラブグランドデラックスキング with バルコニー（禁煙）,"['ポイント7%分利用+割引で215,050円～朝食付2名税込174,004円～詳細･予約']"
パレスホテル東京,東京都・丸の内／大手町地下通路直結 [全284室],エグゼクティブスイート（キング）,"['ポイント7%分利用+割引で278,300円～朝食付2名税込225,174円～詳細･予約']"
パレスホテル東京,東京都・丸の内／大手町地下通路直結 [全284室],ガーデンスイート（キング）,"['ポイント7%分利用+割引で359,260円～朝食付2名税込290,682円～詳細･予約']"
パレスホテル東京,東京都・丸の内／大手町地下通路直結 [全284室],プレミアスイート（キング）,"['ポイント7%分利用+割引で379,500円～朝食付2名税込307,058円～詳細･予約']"
パレスホテル東京,東京都・丸の内／大手町地下通路直結 [全284室],プレミアスイート （ツイン）,"['ポイント7%分利用+割引で379,500円～朝食付2名税込307,058円～詳細･予約']"
パレスホテル東京,東京都・丸の内／大手町地下通路直結 [全284室],パークスイート（ツイン）,"['ポイント7%分利用+割引で460,460円～朝食付2名税込372,559円～詳細･予約']"
パレスホテル東京,東京都・丸の内／大手町地下通路直結 [全284室],千代田スイート（ツイン）,"['ポイント2%分利用で404,800円～朝食付2名税込396,704円～詳細･予約']"
パレスホテル東京,東京都・丸の内／大手町地下通路直結 [全284室],テラススイート（都内最大 約40平米のテラス付）,"['ポイント7%分利用+割引で567,986円～朝食付2名税込459,561円～詳細･予約']"
ホテルシギラミラージュ,沖縄県・宮古島市 [全160室],スーペリアルーム（52平米/2-4階）＜眺望指定なし＞,"['ポイント12%分利用で45,560円～朝食付2名税込40,100円～詳細･予約']"
ホテルシギラミラージュ,沖縄県・宮古島市 [全160室],スーペリアルーム（52平米/5-8階）＜サンセットビュー＞,"['ポイント12%分利用で48,780円～朝食付2名税込42,936円～詳細･予約']"
ホテルシギラミラージュ,沖縄県・宮古島市 [全160室],デラックスルーム＜テラスジャグジー付＞,"['ポイント12%分利用で51,340円～朝食付2名税込45,184円～詳細･予約']"
ホテルシギラミラージュ,沖縄県・宮古島市 [全160室],スーペリアルーム（52平米/5-8階）＜オーシャンビュー＞,"['ポイント12%分利用で54,560円～朝食付2名税込48,020円～詳細･予約']"
ホテルシギラミラージュ,沖縄県・宮古島市 [全160室],ジュニアスイート＜デイベッド・テラスジャグジー付＞,"['ポイント12%分利用で57,460円～朝食付2名税込50,572円～詳細･予約']"
ホテルシギラミラージュ,沖縄県・宮古島市 [全160室],デラックススイート1ベッドルーム＜テラスジャグジー付＞,"['ポイント12%分利用で63,920円～朝食付2名税込56,252円～詳細･予約']"
ホテルシギラミラージュ,沖縄県・宮古島市 [全160室],プールヴィラプレミア1F　温水プライベートプール・ラウンジ,"['ポイント12%分利用で63,920円～朝食付2名税込56,252円～詳細･予約']"
ホテルシギラミラージュ,沖縄県・宮古島市 [全160室],【ドッグフレンドリールーム】プールヴィラプレミア1F,"['ポイント12%分利用で63,920円～朝食付2名税込56,252円～詳細･予約']"
ホテルシギラミラージュ,沖縄県・宮古島市 [全160室],プールヴィラプレミア2F　温水プライベートプール・ラウンジ,"['ポイント12%分利用で73,940円～朝食付2名税込65,072円～詳細･予約']"
ホテルシギラミラージュ,沖縄県・宮古島市 [全160室],ファミリープールスイート＜お子様用プライベートプール付＞,"['ポイント12%分利用で78,400円～朝食付2名税込68,992円～詳細･予約']"
ホテルシギラミラージュ,沖縄県・宮古島市 [全160室],ミラージュフロア・デラックススイート＜ラウンジ利用付＞,"['ポイント12%分利用で80,740円～朝食付2名税込71,056円～詳細･予約']"
ホテルシギラミラージュ,沖縄県・宮古島市 [全160室],デラックススイート2ベッドルーム＜ジャグジー付＞,"['ポイント12%分利用で90,240円～朝食付2名税込79,416円～詳細･予約']"
ホテルシギラミラージュ,沖縄県・宮古島市 [全160室],デラックススイート2ベッドルームデイベッド付＜ジャグジー付＞,"['ポイント12%分利用で90,240円～朝食付2名税込79,416円～詳細･予約']"
ホテルシギラミラージュ,沖縄県・宮古島市 [全160室],ミラージュフロア・プレミアスイート＜ラウンジ利用付＞,"['ポイント12%分利用で94,420円～朝食付2名税込83,092円～詳細･予約']"
ホテルシギラミラージュ,沖縄県・宮古島市 [全160室],プールヴィラプレミア メゾネット　温水プライベートプール付,"['ポイント12%分利用で94,420円～朝食付2名税込83,092円～詳細･予約']"
ホテルシギラミラージュ,沖縄県・宮古島市 [全160室],ミラージュフロア・ガーデンプールスイート＜ラウンジ利用付＞,"['ポイント12%分利用で109,000円～朝食付2名税込95,920円～詳細･予約']"
熱海・伊豆山 佳ら久（ORIX HOTELS＆RESORTS）,静岡県・熱海・伊豆山  / 熱海温泉[全57室],デラックスルーム低層階（和タイプ）2名定員,"['ポイント15%分利用で93,060円～夕朝食付2名税込79,110円～詳細･予約', 'ポイント15%分利用で99,000円～朝食付2名税込84,150円～詳細･予約']"
熱海・伊豆山 佳ら久（ORIX HOTELS＆RESORTS）,静岡県・熱海・伊豆山  / 熱海温泉[全57室],デラックスルーム低層階（和タイプ）4名定員,"['ポイント15%分利用で93,060円～夕朝食付2名税込79,110円～詳細･予約', 'ポイント15%分利用で105,600円～朝食付2名税込89,760円～詳細･予約']"
熱海・伊豆山 佳ら久（ORIX HOTELS＆RESORTS）,静岡県・熱海・伊豆山  / 熱海温泉[全57室],デラックスルーム低層階（洋タイプ）2名定員,"['ポイント15%分利用で93,060円～夕朝食付2名税込79,110円～詳細･予約', 'ポイント15%分利用で99,000円～朝食付2名税込84,150円～詳細･予約']"
熱海・伊豆山 佳ら久（ORIX HOTELS＆RESORTS）,静岡県・熱海・伊豆山  / 熱海温泉[全57室],デラックスルーム低層階（洋タイプ）3名定員,"['ポイント15%分利用で93,060円～夕朝食付2名税込79,110円～詳細･予約', 'ポイント15%分利用で105,600円～朝食付2名税込89,760円～詳細･予約']"
熱海・伊豆山 佳ら久（ORIX HOTELS＆RESORTS）,静岡県・熱海・伊豆山  / 熱海温泉[全57室],デラックスルーム高層階（和タイプ）2名定員,"['ポイント15%分利用で102,960円～夕朝食付2名税込87,525円～詳細･予約', 'ポイント15%分利用で110,000円～朝食付2名税込93,500円～詳細･予約']"
熱海・伊豆山 佳ら久（ORIX HOTELS＆RESORTS）,静岡県・熱海・伊豆山  / 熱海温泉[全57室],デラックスルーム高層階（和タイプ）3名定員,"['ポイント15%分利用で102,960円～夕朝食付2名税込87,525円～詳細･予約', 'ポイント15%分利用で116,600円～朝食付2名税込99,110円～詳細･予約']"
熱海・伊豆山 佳ら久（ORIX HOTELS＆RESORTS）,静岡県・熱海・伊豆山  / 熱海温泉[全57室],デラックスルーム高層階（和タイプ）4名定員,"['ポイント15%分利用で102,960円～夕朝食付2名税込87,525円～詳細･予約', 'ポイント15%分利用で116,600円～朝食付2名税込99,110円～詳細･予約']"
熱海・伊豆山 佳ら久（ORIX HOTELS＆RESORTS）,静岡県・熱海・伊豆山  / 熱海温泉[全57室],デラックスルーム高層階（洋タイプ）2名定員,"['ポイント15%分利用で102,960円～夕朝食付2名税込87,525円～詳細･予約', 'ポイント15%分利用で116,600円～朝食付2名税込99,110円～詳細･予約']"
熱海・伊豆山 佳ら久（ORIX HOTELS＆RESORTS）,静岡県・熱海・伊豆山  / 熱海温泉[全57室],デラックスルーム高層階（洋タイプ）4名定員,"['ポイント15%分利用で102,960円～夕朝食付2名税込87,525円～詳細･予約']"
熱海・伊豆山 佳ら久（ORIX HOTELS＆RESORTS）,静岡県・熱海・伊豆山  / 熱海温泉[全57室],デラックスルーム低層階（和タイプ）3名定員,"['ポイント15%分利用で105,600円～朝食付2名税込89,760円～詳細･予約', 'ポイント15%分利用で110,880円～夕朝食付2名税込94,260円～詳細･予約']"
熱海・伊豆山 佳ら久（ORIX HOTELS＆RESORTS）,静岡県・熱海・伊豆山  / 熱海温泉[全57室],デラックスルーム低層階（洋タイプ）4名定員,"['ポイント15%分利用で105,600円～朝食付2名税込89,760円～詳細･予約', 'ポイント15%分利用で110,880円～夕朝食付2名税込94,260円～詳細･予約']"
熱海・伊豆山 佳ら久（ORIX HOTELS＆RESORTS）,静岡県・熱海・伊豆山  / 熱海温泉[全57室],佳ら久ルーム　露天風呂付（洋タイプ）2名定員,"['ポイント15%分利用で112,860円～夕朝食付2名税込95,940円～詳細･予約']"
熱海・伊豆山 佳ら久（ORIX HOTELS＆RESORTS）,静岡県・熱海・伊豆山  / 熱海温泉[全57室],佳ら久ルーム　露天風呂付（洋タイプ）3名定員,"['ポイント15%分利用で112,860円～夕朝食付2名税込95,940円～詳細･予約', 'ポイント15%分利用で147,400円～朝食付2名税込125,290円～詳細･予約']"
熱海・伊豆山 佳ら久（ORIX HOTELS＆RESORTS）,静岡県・熱海・伊豆山  / 熱海温泉[全57室],デラックスルーム高層階（洋タイプ）3名定員,"['ポイント15%分利用で114,840円～夕朝食付2名税込97,620円～詳細･予約']"
ザ・キャピトルホテル 東急,東京都・溜池山王駅・国会議事堂前駅直結 [全251室],デラックスハリウッドツイン【禁煙】,"['ポイント17%分利用+割引で101,832円～2名税込76,078円～詳細･予約', 'ポイント17%分利用+割引で113,470円～朝食付2名税込84,767円～詳細･予約']"
ザ・キャピトルホテル 東急,東京都・溜池山王駅・国会議事堂前駅直結 [全251室],デラックスキング【禁煙】,"['ポイント17%分利用+割引で101,832円～2名税込76,078円～詳細･予約', 'ポイント17%分利用+割引で113,470円～朝食付2名税込84,767円～詳細･予約']"
ザ・キャピトルホテル 東急,東京都・溜池山王駅・国会議事堂前駅直結 [全251室],デラックスキング【喫煙】,"['ポイント17%分利用+割引で109,104円～2名税込81,517円～詳細･予約', 'ポイント17%分利用+割引で120,742円～朝食付2名税込90,206円～詳細･予約']"
