Hotel Name,Hotel Address,Price Details,Plan Title,Plan Description,Plan Prices
コンフォートイン鳥栖(旧チサンイン鳥栖),佐賀県 鳥栖,"2,455円～（消費税込2,700円～）",【30連泊割】鳥栖ICより車で約6分◆青空駐車場無料◆オフィス利用や長期滞在に◆素泊まり◆,"30泊以上の連泊に対応した特別割引プランです。
30泊未満に変更の場合、返金は致しかねますので予めご了承ください。

長期出張・単身赴任でお部屋を探している方、簡易オフィスとしてご利用されたい方へおすすめのプランです。
...","4,546円～13,000円/人（消費税込5,000円～14,300円/人）"
コンフォートイン鳥栖(旧チサンイン鳥栖),佐賀県 鳥栖,"2,455円～（消費税込2,700円～）",【21日前早期割】4連泊以上でお得◆エコステイ◆鳥栖ICより車で約6分◆朝食付◆,"■21日前まで×4連泊以上でおトク■
4連泊以上の連泊宿泊に対応した特別割引プランです。

【注意事項】
本プランは、清掃無しのプランです。
滞在時の客室清掃が必要な場合、別途料金「清掃代　1，000円（税込）」を頂戴い...","5,819円～10,364円/人（消費税込6,400円～11,400円/人）"
コンフォートイン鳥栖(旧チサンイン鳥栖),佐賀県 鳥栖,"2,455円～（消費税込2,700円～）",【開業記念15％OFF】鳥栖ICより車で約6分◆青空駐車場無料◆素泊まり◆,"■期間限定■開業記念特別プラン

最新のコンフォートブランドをオトクに体験していただけるプランをご用意！

※本プランは朝食付きではありません。

●コンフォートイン鳥栖のこだわり

〈停めやすい無料駐車場〉
広々とした...","4,637円～9,273円/人（消費税込5,100円～10,200円/人）"
ＨＯＴＥＬ　ＡＺ　佐賀吉野ヶ里店,佐賀県 鳥栖,"3,500円～（消費税込3,850円～）",【朝食無料】スタンダードプラン,"HOTEL AZ のスタンダードなプランです。
【朝食】 6：00～10：00（最終入場 9：30）

ホテルのご案内
・365日いつでも同一価格
・安心のAZホテルチェーン
・朝食無料、駐車場無料（132台）、Wi-F...","3,500円/人（消費税込3,850円/人）"
ＨＯＴＥＬ　ＡＺ　佐賀吉野ヶ里店,佐賀県 鳥栖,"3,500円～（消費税込3,850円～）",【夕食付き】スタンダードプラン　※朝食無料,"当館人気の夕食バイキングが付いたプランです。
【夕食】18：00～22：00（最終入場21：30）
【朝食】 6：00～10：00（最終入場 9：30）

ホテルのご案内
・365日いつでも同一価格
・安心のAZホテルチ...","4,373円/人（消費税込4,810円/人）"
ＨＯＴＥＬ　ＡＺ　佐賀鳥栖店,佐賀県 鳥栖,"3,900円～（消費税込4,290円～）",【夕食付き】スタンダードプラン　※朝食無料,"２食付のスタンダードなプランです☆
お食事はレストランにて、和洋中のディナーバイキング食べ放題♪

【レストラン営業時間】　
　　
　朝食　 6：00～10：00　和洋バイキング（9：30　最終入店）
　夕食　18：00...","4,273円/人（消費税込4,700円/人）"
ＨＯＴＥＬ　ＡＺ　佐賀鳥栖店,佐賀県 鳥栖,"3,900円～（消費税込4,290円～）",【朝食無料】スタンダードプラン,"朝食バイキング付きのスタンダードなプランです。

（朝食営業時間　6：00～10:00 ※9：30最終入店）

当ホテルは通年同一料金なので安心でお得です!

ビジネス利用・ご家族・ご友人とのご旅行に♪　
ご予約お待ちし...","3,400円/人（消費税込3,740円/人）"
グリーンリッチホテル　鳥栖駅前,佐賀県 鳥栖,"3,773円～（消費税込4,150円～）",【さき楽28】２８日前の早期予約でお得に！◇素泊り◇,"28日前のご予約がお得な素泊まりプランです。

※こちらのプランは朝食は含まれておりません。


【駐車場】　計１７台
■ホテル敷地内平面駐車場／200円
■第２駐車場～ホテルから約７０メートル／200円
■満車時は近郊...","3,773円/人（消費税込4,150円/人）"
グリーンリッチホテル　鳥栖駅前,佐賀県 鳥栖,"3,773円～（消費税込4,150円～）",【さき楽21】２１日前の早期予約でお得に！◆朝食付◆,"21日前のご予約がお得な宿泊プランです。

【朝食付】
■定食
■１Ｆレストラン
■営業時間　6:30-9:30 

【駐車場】　計１７台
■ホテル敷地内平面駐車場／200円
■第２駐車場～ホテルから約７０メートル／20...","5,046円/人（消費税込5,550円/人）"
グリーンリッチホテル　鳥栖駅前,佐賀県 鳥栖,"3,773円～（消費税込4,150円～）",【連泊割】２連泊～４連泊　◇素泊り◇,"2連泊～４連泊の方にお勧め★

※こちらのプランは朝食は含まれておりません。

【駐車場】　計１７台
■ホテル敷地内平面駐車場／200円
■第２駐車場～ホテルから約７０メートル／200円
■満車時は近郊駐車場をご案内致し...","4,046円～5,455円/人（消費税込4,450円～6,000円/人）"
